"Date","Qob.L3","Qsim.L3","SurfaceFlow.L3","Baseflow.L3","DirectRunoff.L3","Eta.L3","StSur.L3","StBase.L3","Impulse.L","Zs.L","Zb.L","Infil.L3","Rech.L3","RecessCount.T","AdjPctEr","Weight","CB0.05","CB0.95"
"1989-04-01",156601.52931181,NA,19575.1911639762,116640.093653442,NA,NA,521447.217186541,17658604.1012521,NA,0.119821088314384,4.0022067832311,NA,528225.817499637,1,NA,0.013513894328755,NA,NA
"1989-04-02",161495.327102804,125619.102183736,9787.5955819881,115831.506601748,0,35876.2249190673,247546.048510551,17806886.1677444,0,0.055891077144024,4.03529841462571,0,264113.573094002,2,0.252720750089672,0.0268451633175814,93773.341300585,209231.625676792
"1989-04-03",151707.731520816,122223.516645498,4565.46729313703,117658.04935236,0,29484.2148753181,119784.358770702,17812424.3408387,0,0.0270128618955068,4.03529841462571,0,123196.222446712,3,0.227969479371938,0.0399962749460244,91238.5723358548,203575.926265319
"1989-04-04",141920.135938828,119864.597226902,2206.54787454119,117658.04935236,0,22055.5387119259,58035.524129605,17754308.5782529,0,0.0130802386594258,4.02107666184749,0,59542.2867665559,4,0.192976438449208,0.0529696638416151,83066.2065158534,204936.698412562
"1989-04-05",146813.933729822,118070.306079213,1068.46038468987,117001.845694523,0,28743.6276506088,28135.269346378,17666138.5269569,0,0.00633946410761681,4.00218435179741,0,28831.7943985371,5,0.230414062471018,0.0657677317305848,81822.7621421877,201868.936018114
"1989-04-06",163942.225998301,143041.055698433,15594.5310184106,121062.723136961,6383.80154306214,20901.1702998673,393796.40769992,17965886.7449235,0.027533079611481,0.0890330328722109,4.06865833923486,802066.610475534,420810.941103581,0,0.161289840601306,0,NA,NA
"1989-04-07",166389.124893798,154348.702784006,19276.6284450125,123758.247949706,11313.826389287,12040.4221097918,512835.23376306,18362292.9653933,0.0226894365166231,0.116075801268138,4.16045889021104,658479.922927648,520164.468419496,1,0.107789057948417,0.013513894328755,NA,NA
"1989-04-08",159048.428207307,134165.4933826,9481.66149757273,124683.831885027,0,24882.9348247066,247502.563091502,18493460.1426823,0,0.0558812363448276,4.1898325666247,0,255851.009173985,2,0.190091161418224,0.0268451633175814,107862.943641266,213625.54695492
"1989-04-09",149260.832625319,130925.284289844,4564.66344663477,126360.62084321,0,18335.5483354743,119766.673354936,18490270.748129,0,0.0270088691802872,4.1898325666247,0,123171.226289931,3,0.160021696705767,0.0399962749460244,101198.703789195,215251.957707887
"1989-04-10",139473.237043331,128566.842572475,2206.22172926582,126360.62084321,0,10906.3944708552,58028.5630126111,18423442.0158989,0,0.0130786688961319,4.17512252856439,0,59531.8886130591,4,0.119886622302464,0.0529696638416151,99375.7461683302,211374.485151252
"1989-04-11",139473.237043331,126587.908869749,1068.33215844442,125519.576711304,0,12885.3281735817,28132.6700532114,18326749.9999885,0,0.00633887827998792,4.15070884481194,0,28827.5608009553,5,0.133433552370101,0.0657677317305848,97846.1292827382,208120.955048212
"1989-04-12",139473.237043331,124647.388960152,517.791800431527,124129.597159721,0,14825.8480831781,13642.8779998564,18216592.4030817,0,0.00307361310792268,4.12642344882726,0,13972.0002529235,6,0.146717518110812,0.0783928478824908,93047.9675781382,207613.136657783
"1989-04-13",139473.237043331,123005.260720921,251.068342802169,122754.192378119,0,16467.9763224094,6616.99852093023,18100613.0218397,0,0.00149065109303148,4.1022657426133,0,6774.81113612395,7,0.157958822651893,0.0908473495488317,91822.136083088,204878.001992025
"1989-04-14",141920.135938828,121514.982083208,121.763958729535,121393.218124478,0,20405.1538556197,3209.55038241442,17982505.487895,0,0.000723011939921992,4.07344420726939,0,3285.68417978627,8,0.181864738285194,0.103133542395736,90709.6587217798,202395.788565407
"1989-04-15",149260.832625319,119837.955498825,59.059290551074,119778.896208274,0,29422.8771264939,1556.82450207645,17864320.2582765,0,0.000350698807149415,4.04956532557498,0,1593.6665897869,9,0.231154753062769,0.115253700930805,83047.7437892637,204891.148117325
"1989-04-16",173729.821580289,150395.002108879,17812.8725676034,124653.605425571,7928.52411570467,23334.8194714096,443879.432263764,18220334.4466138,0.0323689464249215,0.100403314437615,4.12642344882726,940803.274092112,480667.793762821,0,0.166031031009013,0,NA,NA
"1989-04-17",156601.52931181,149948.656600318,16484.6123720881,125673.306389047,7790.73783918234,6652.87271149186,445957.867242085,18539480.802579,0.0159213278331656,0.100875410155545,4.19966510052232,463382.709704689,444819.662354279,1,0.0812428742994436,0.013513894328755,NA,NA
"1989-04-18",154154.630416313,135164.292912263,8240.01628310302,126924.27662916,0,18990.3375040499,215372.606869903,18634901.7700389,0,0.0486123742285951,4.22433716357269,0,222345.244089079,2,0.159223465469446,0.0268451633175814,108665.932954395,215215.88952694
"1989-04-19",156601.52931181,132314.749714799,3970.90583905696,128343.843875742,0,24286.7795970107,104252.844019345,18613706.7831747,0,0.0235069235518545,4.21939236265414,0,107148.857011501,3,0.189288374488181,0.0399962749460244,106375.03005856,210678.692899236
"1989-04-20",154154.630416313,129978.89894856,1920.16500883879,128058.733939721,0,24175.7314677529,50519.9020716095,18537460.8261739,0,0.0113855499477636,4.19966510052232,0,51812.7769388967,4,0.191478711829576,0.0529696638416151,100467.195201358,213696.022209542
