"site_no","AREA","Lb","X1","Wb","POR","ALPHA","BETA","Ks","Kb","Kz","Qthresh","Rs","Rb1","Rb2","Prec","Frac4Rise","Error"
"01010000",3432960000,42195.0035021262,30268.4208326014,3899.49159962951,0.15,0.00699158934840278,17.8913441796938,12021.9132162704,1346.67348770086,0.226522216075542,653322.005097706,-0.116855274770176,-0.060320116010778,-0.0103853333108917,28873.4069668649,0.05,0.119054415372115
"01010070",437760000,22947.4635728337,15020.6290925,1426149.74638066,0.15,4.49673137717777e-09,21.4458289013451,17021289959432.5,721.498398117902,0.186595522628668,100322.854715378,-0.135345677047049,-0.0630063205133366,-0.0118418233543779,3425.65845369584,0.05,0.0971279095830507
"01010500",6860800000,30622.3448738026,16697.5255251786,4599.47458620858,0.15,0.00880951570668279,17.8471301795027,11703.2359173439,1082.30610870541,0.173664034754308,638640.611724724,-0.134724331595274,-0.0502928932274508,-0.00837796570104026,66511.6057774002,0.05,0.133512186112225
"01011000",3783680000,24340.0480794466,13850.5194954846,7682.98396517229,0.15,0.0085041634330275,9.94662308280705,7715.10129120245,1227.53514749301,0.128974919903397,606830.926083263,-0.0740152608563851,-0.0333591988253289,-0.00721557050131131,58192.1495327103,0.05,0.081862081239009
"01012515",33280000,7922.06795588057,4911.78611454762,731.939491948291,0.15,0.0373299209519766,6.8790068962104,274.276337994572,542.645323990602,0.220546225715637,16621.7841971113,-0.0837255879037647,-0.077278622294725,-0.00851574132084083,36.6790144435004,0.05,0.0599699587578843
"01012520",5196800,1997.4633600892,1163.06363101598,226.577895072655,0.15,0.0110522898986219,2.20819457456813,900.437200118556,1368.8207840987,0.159277692246908,171.282922684792,-0.227924862279749,-0.0810930216216331,-0.00834991246569135,24.4689889549697,0.05,0.176426992680319
"01012525",2713600,2507.58473542327,1528.7047120038,249.860690061939,0.15,0.0150117741658764,3.56125065382753,591.219664560775,863.233784089322,0.244033184065073,562.786745964316,-0.228692582643262,-0.0867500567704722,-0.0172735001939625,24.4689889549697,0.05,0.0954092873027056
"01012570",179968000,4507.53013431672,2761.18320344223,4791.01489577415,0.15,0.012567983647558,7.05388318298452,5602.16162832385,304.474591141763,0.283213605417299,70960.0679694138,-0.153456717189835,-0.0712686143988364,-0.0185986802192247,807.476635514018,0.05,0.0475473145792183
"01013500",2234880000,47812.2851453034,110.191007323017,2790.54622715778,0.15,0.0117829974547161,7.2230078125,464.350716639283,267.276807777252,0.182103522869033,966525.063721327,-0.0312037300643083,-0.0284188595092983,-0.00657413117564771,31809.6856414613,0.05,0.0753194108414612
"01014000",15178240000,116016.616376449,83.1274294094292,4780.46457404867,0.15,0.00916554664399363,6.048984375,11453.204278225,1092.2433142663,0.188839145878182,2789464.74086661,-0.10826744806625,-0.0389747692212753,-0.00868164167121662,220176.856414614,0.05,0.0947280146733294
"01015800",2283520000,68996.2662147742,53899.62837429,2603.11686949045,0.15,0.00704212376055232,24.6907987644302,2136.99057216498,832.678360648186,0.162502770258854,1375157.17926933,-0.0949519999200909,-0.0578266904561522,-0.0111917071015831,21777.4001699235,0.05,0.0550272977265798
"01016500",842240000,11340.3472280904,5236.77228495666,3387.60572267158,0.15,0.00918464599774933,5.54613848939669,3984.89374581899,2307.32578271317,0.19563139125095,169814.783347493,-0.0606213989282493,-0.052609309589678,-0.0141763945045835,7830.07646559049,0.05,0.0570358757103991
"01017000",4234240000,13913.969459036,1251.09255987838,7739.09026965923,0.15,0.0108733477844071,13.2801645248725,14827.82948529,1511.57269569581,0.208204153260846,341807.30671198,-0.076891775082583,-0.0518841616373275,-0.0105360515657825,38372.2684791844,0.05,0.0886113027344503
"01017060",14592000,5157.66718240665,1422.78008794312,336.350515389374,0.15,0.0109573574569203,2.09814851298769,605.511519795699,4394.01876837499,0.166162454670345,5965.53950722175,-0.20874417541977,-0.0444343256445476,-0.0134976409975332,237.202378929481,0.05,0.0478014633099155
"01017290",599040000,18294.9142938838,10430.9698329448,1405.0534780901,0.15,0.00817246319205292,11.4480559412813,3020.38805008222,1157.12225304253,0.190956694732405,141900.560747663,-0.15182631479885,-0.0627420506859612,-0.0106757116435721,7976.8903993203,0.05,0.106105229725639
"01017550",9779200,5443.80322901299,110.938198509216,272.224189386388,0.15,0.0174689640298234,22.452890625,624.483363737869,91.9563779798855,0.189766904587182,1028.18691588785,-0.251722758234184,-0.0435521316406069,-0.00799204427629439,93.2757858963467,0.05,0.0661057329013536
"01017900",3763200,11625.1491703306,34.8963092016902,78.1798731625566,0.15,0.00943791160528838,1.1,829.236057018356,3804.4882544926,0.168353630797009,97.8759558198806,-0.29141412324722,-0.0800777844752311,-0.0104086282300745,24.4689889549699,0.05,0.174750843907455
"01017960",225280000,16187.9847748287,101.603852347515,861.40578737713,0.15,0.0100297804889388,1,2434.1906800486,20752.0008798707,0.209290661295015,9922.66440101957,-0.158569679719891,-0.0628851879659497,-0.0161911951480215,1149.60203908241,0.05,0.117161118392532
"01018000",4.48e+08,26454.5584686718,83.9136708848612,933.253388842262,0.15,0.00781925502609289,14.2,2557.10369115257,216.409272076089,0.249579715169262,200890.399320306,-0.134422556559712,-0.0668238940566683,-0.0180088757229523,3262.69498725574,0.05,0.0731345753500228
"01018009",20454400,6176.61482879412,193.746640496877,285.525172222541,0.15,0.015345953588893,22.869,532.297413546866,108.008404041395,0.145640730687361,9322.68479184363,-0.213122538299954,-0.0633695733054567,-0.0128728221156092,94.3034834324553,0.05,0.061233462926239
