"agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd"
"USGS","11266500",2010-10-01,24.5,"A"
"USGS","11266500",2010-10-02,30.8,"A"
"USGS","11266500",2010-10-03,34.8,"A"
"USGS","11266500",2010-10-04,128,"A"
"USGS","11266500",2010-10-05,192,"A"
"USGS","11266500",2010-10-06,157,"A"
"USGS","11266500",2010-10-07,131,"A"
"USGS","11266500",2010-10-08,110,"A"
"USGS","11266500",2010-10-09,96.3,"A"
"USGS","11266500",2010-10-10,91.5,"A"
"USGS","11266500",2010-10-11,93.9,"A"
"USGS","11266500",2010-10-12,109,"A"
"USGS","11266500",2010-10-13,109,"A"
"USGS","11266500",2010-10-14,97.9,"A"
"USGS","11266500",2010-10-15,86.5,"A"
"USGS","11266500",2010-10-16,77.7,"A"
"USGS","11266500",2010-10-17,71.5,"A"
"USGS","11266500",2010-10-18,88.1,"A"
"USGS","11266500",2010-10-19,110,"A"
"USGS","11266500",2010-10-20,109,"A"
"USGS","11266500",2010-10-21,101,"A"
"USGS","11266500",2010-10-22,98.4,"A"
"USGS","11266500",2010-10-23,94.5,"A"
"USGS","11266500",2010-10-24,788,"A"
"USGS","11266500",2010-10-25,4030,"A"
"USGS","11266500",2010-10-26,1090,"A"
"USGS","11266500",2010-10-27,651,"A"
"USGS","11266500",2010-10-28,486,"A"
"USGS","11266500",2010-10-29,393,"A"
"USGS","11266500",2010-10-30,353,"A"
"USGS","11266500",2010-10-31,340,"A"
"USGS","11266500",2010-11-01,302,"A"
"USGS","11266500",2010-11-02,273,"A"
"USGS","11266500",2010-11-03,259,"A"
"USGS","11266500",2010-11-04,258,"A"
"USGS","11266500",2010-11-05,254,"A"
"USGS","11266500",2010-11-06,238,"A"
"USGS","11266500",2010-11-07,250,"A"
"USGS","11266500",2010-11-08,396,"A"
"USGS","11266500",2010-11-09,381,"A"
"USGS","11266500",2010-11-10,409,"A"
"USGS","11266500",2010-11-11,361,"A"
"USGS","11266500",2010-11-12,320,"A"
"USGS","11266500",2010-11-13,341,"A"
